,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,
,,,North America,,"33,424,479","+8,180","755,723",+800,"23,067,337","+5,768","9,601,419","22,044",,,,,,North America,,,,,
,,,Asia,,"24,869,532","+4,298","396,774",+64,"23,390,528","+6,339","1,082,230","21,822",,,,,,Asia,,,,,
,,,South America,,"17,851,643","+1,069","463,750",+32,"16,150,038",+869,"1,237,855","19,130",,,,,,South America,,,,,
,,,Europe,,"33,895,747","+10,941","808,941",+179,"23,447,819","+10,908","9,638,987","25,419",,,,,,Europe,,,,,
,,,Africa,,"3,907,368",,"103,302",,"3,465,594",,"338,472","2,580",,,,,,Africa,,,,,
,,,Oceania,,"51,105",+8,"1,088",,"34,272",+4,"15,745",6,,,,,,Australia/Oceania,,,,,
,,,,,721,,15,,706,,0,0,,,,,,,,,,,
,,World,"114,000,595","+24,496","2,529,593","+1,075","89,556,294","+23,888","21,914,708","91,001","14,625",324.5,,,,All,,,,,
,1,USA,"29,136,912",,"523,082 ",,"19,534,068",,"9,079,762","15,478","87,688","1,574","356,081,932","1,071,639","332,277,970 ",North America,116351,
,2,India,"11,079,979",+885,"156,970 ",,"10,763,451","+2,312","159,558","8,944","7,978",113,"215,435,383","155,112","1,388,901,219 ",Asia,"1258,8486",
,3,Brazil,"10,457,794",,"252,988 ",,"9,355,974",,"848,832","8,318","48,971","1,185","28,600,000","133,925","213,551,580 ",South America,208447,
,4,Russia,"4,223,186",,"85,304 ",,"3,783,386",,"354,496","2,300","28,931",584,"110,200,000","754,920","145,975,683 ",Europe,"351,7111",
,5,UK,"4,163,085",,"122,415 ",,"2,779,169",,"1,261,501","2,047","61,114","1,797","89,162,545","1,308,897","68,120,388 ",Europe,165561,
,6,France,"3,712,020",,"86,147 ",,"254,868",,"3,371,005","3,430","56,786","1,318","51,853,607","793,250","65,368,578 ",Europe,187591,
,7,Spain,"3,188,553",,"69,142 ",,"2,647,446",,"471,965","3,021","68,180","1,478","38,491,517","823,054","46,766,708 ",Europe,156761,
,8,Italy,"2,888,923",,"97,227 ",,"2,387,032",,"404,664","2,194","47,827","1,610","39,552,816","654,813","60,403,209 ",Europe,216212,
,9,Turkey,"2,683,971",,"28,432 ",,"2,556,785",,"98,754","1,195","31,601",335,"32,939,661","387,827","84,933,885 ",Asia,"322,9873",
